,business,state,zip,zip_match_percent,name_match_percent,combined_percent,master_businessname,master_zip,duplicat?,duplicate?
171,ALASKA DIVISION,CO,80601,60,50,52.0,Alpaca Connection,80302,0,0.0
1346,"NORCON, INC",CO,80112,60,55,56.0,Dana Kepner Co Inc,80204,0,0.0
1413,NATIVE AMERICAN RIGHTS FUND,CO,80302,100,100,100.0,Native American Rights Fund,80302,0,1.0
2199,SPENARD BUILDERS SUPPLY,CO,80237,100,36,48.8,"Aimco Properties, L.P",80237,0,0.0
2200,SPENARD BUILDERS SUPPLY,CO,80237,100,36,48.8,"Aimco Properties, L.P",80237,0,0.0
3022,"ISEC, INCORPORATED",CO,80111,100,48,58.400000000000006,First Data Merchant Services Corporation,80111,0,0.0
3258,ST. ELMO NORTH,CO,81212,80,38,46.400000000000006,Nicks Home Improvements,81521,0,0.0
3606,STEIGERS CORPORATION,CO,80120,60,71,68.80000000000001,Translogic Corporation,80239,0,0.0
3620,EDUCATION RESOURCES PUBLISHING,CO,80602,100,41,52.800000000000004,"AIM Investment Solutions, Inc",80602,0,0.0
3649,TRANSLOGIC CORPORATION,CO,80239,100,100,100.0,Translogic Corporation,80239,0,1.0
3894,JULIE DINNEEN COMPANY,CO,80026,60,55,56.0,Denver Mattress Company,80210,0,0.0
4134,"TANCO ENGINEERING, INC",CO,80537,80,62,65.6,"Grand Teton Painting, Inc.",80536,0,0.0
4195,T I C - THE INDUSTRIAL COMPANY,CO,80112,100,47,57.6,Wiesner Publishing Company LLC,80112,0,0.0
4249,"JACOB T. BOYER, DMD",CO,81321,40,45,44.0,"Aimco Properties, L.P",80237,0,0.0
4333,PIRNIE SERVICES,CO,80537,80,73,74.4,Intec Services Inc,80527,0,0.0
4350,"LASER TECHNOLOGY, INC",CO,80112,100,49,59.2,Local Insight Media Holdings Inc,80112,0,0.0
4389,SHELIKOF TRADING CO INC,CO,81321,60,59,59.2,Elevation Imaging Inc,81435,0,0.0
4452,CH2M HILL INC,CO,80222,33,58,58.0,Johns Manville Inc,0,0,0.0
4944,KALMAN FLOOR COMPANY INC,CO,80439,100,100,100.0,Kalman Floor Company Inc,80439,0,1.0
5011,"CH2M HILL, INC",CO,80222,33,56,56.0,Johns Manville Inc,0,0,0.0
5895,NATIONAL MULTIPLE SCLEROSIS SOCIETY,CO,80209,80,46,52.800000000000004,Traemand Installation Services,80210,0,0.0
6172,CH2M HILL CONSTRUCTORS INC,CO,80112,40,79,71.2,Roche Constructors Inc,80634,0,0.0
6446,B.I. INCORPORATED,CO,80301,60,51,52.800000000000004,Translogic Corporation,80239,0,0.0
6625,"GVNW CONSULTING, INC",CO,80918,33,59,59.0,Krische Construction Inc,0,0,0.0
6861,"CATAMOUNT CONSTRUCTORS, INC",CO,80401,60,73,70.4,Roche Constructors Inc,80634,0,0.0
6876,ALPACA CONNECTION,CO,80027,80,100,96.0,Alpaca Connection,80302,0,1.0
7299,ROLLING PLAINS CONSTRUCTION INC,CO,80640,33,73,73.0,Krische Construction Inc,0,0,0.0
7330,NATIONAL TECHNOLOGY TRANSFER,CO,80155,40,57,53.6,National Service Animal Registry,80863,0,0.0
7645,"SUNLAND DEVELOPMENT COMPANY, LLC",CO,80134,60,57,57.6,Kalman Floor Company Inc,80439,0,0.0
7837,U.S. NURSING CORPORATION,CO,80111,100,53,62.400000000000006,First Data Merchant Services Corporation,80111,0,0.0
8145,FOCUS ON THE FAMILY,CO,80920,60,47,49.6,On The List Seattle,80012,0,0.0
8224,AAVE TEEN ADVENTURES,CO,80401,100,37,49.6,Apex Companies LLC,80401,0,0.0
8753,"TEST, INC",CO,80134,60,54,55.2,"HomeAdvisor, Inc.",80401,0,0.0
9024,"MWH CONSTRUCTORS, INC",CO,80021,40,84,75.2,Roche Constructors Inc,80634,0,0.0
9117,"WILTEL COMMUNICATIONS, LLC",CO,80021,100,75,80.0,Level 3 Communications,80021,0,0.0
9393,VILLAGE INN RESTAURANT,CO,80204,80,45,52.0,Madden Real Estate LLC,80014,0,0.0
9394,VILLAGE INN RESTAURANT,CO,80204,80,45,52.0,Madden Real Estate LLC,80014,0,0.0
9641,ADP SCREENING & SELECTION SERVICES,CO,80524,33,63,63.0,Evergreen Electrical Services,0,0,0.0
9738,"DIGITALGLOBE, INC",CO,80503,60,59,59.2,"Ignite Media Group, Inc.",80237,0,0.0
10322,ALASKA PACIFIC POWDER COMPANY,CO,80137,60,57,57.6,Kalman Floor Company Inc,80439,0,0.0
10515,FAR WEST TOWING,CO,80516,80,46,52.800000000000004,Picture Perfect Painting,80126,0,0.0
10643,NEXUS CORPORATION,CO,80233,80,72,73.6,Translogic Corporation,80239,0,0.0
10749,FENTRESS ARCHITECTS LTD,CO,80203,80,44,51.2,Quatama Crossing Apartments,80237,0,0.0
10788,CDM CONSTRUCTORS INC,CO,80202,40,86,76.8,Roche Constructors Inc,80634,0,0.0
11239,GLACIER INDUSTRIAL PAINTING,CO,80011,80,47,53.6,Local Insight Media Holdings Inc,80112,0,0.0
11440,"INFASTRUCTURE ENGINEERS, INC",CO,80228,60,57,57.6,Intec Services Inc,80527,0,0.0
13083,MOUNTAIN TRIP,CO,81435,100,41,52.800000000000004,Elevation Imaging Inc,81435,0,0.0
13516,R3 EXPLORATION CORPORATION,CO,80228,60,67,65.6,Translogic Corporation,80239,0,0.0
13906,ESI INTERNATIONAL,CO,80127,60,59,59.2,Gallagher Transport International Inc,80239,0,0.0
14210,NATURAL HABITAT ADVENTURES,CO,80307,80,42,49.6,Quatama Crossing Apartments,80237,0,0.0
14340,GEARS INC,CO,80910,60,56,56.800000000000004,MWH Americas Inc,80021,0,0.0
14662,"GENOA GROUP, LLC",CO,80163,60,73,70.4,Zayo Group LLC,80301,0,0.0
14800,WILLIAM W. JENNINGS CONSULTING,CO,80908,40,47,45.6,Linda Riggins Swim Instruction,80437,0,0.0
14855,A&T TRANSCRIPTS,CO,80020,80,48,54.400000000000006,Native American Rights Fund,80302,0,0.0
15067,"ALEUT MANAGEMENT SERVICES, LLC",CO,80919,40,63,58.400000000000006,"Western Drilling Services, LLC",81402,0,0.0
15068,"ALEUT COMMUNICATIONS SERVICES, LLC",CO,80919,60,61,60.800000000000004,Level 3 Communications,80021,0,0.0
15069,"ALEUT TECHNOLOGIES, LLC",CO,80919,60,59,59.2,Apex Companies LLC,80401,0,0.0
15159,QDOBA MEXICAN GRILL,CO,80204,60,51,52.800000000000004,4A Engraving LLC,80132,0,0.0
15223,HACH COMPANY,CO,80538,60,54,55.2,Automatic Laundry Company,80239,0,0.0
15239,"CIBER, INC",CO,80111,60,52,53.6,"HomeAdvisor, Inc.",80401,0,0.0
15604,"MLS HOLDINGS, LLC",CO,80302,80,53,58.400000000000006,Horizon Family Solutions LLC,80303,0,0.0
15850,AIR SCIENCES INC,CO,80401,80,56,60.800000000000004,MWH Americas Inc,80021,0,0.0
16342,CURTIS AND CAMPBELL,CO,80237,80,50,56.0,Automatic Laundry Company,80239,0,0.0
16343,WALLCOVERINGS NORTH,CO,80237,100,40,52.0,"Aimco Properties, L.P",80237,0,0.0
16691,"ANC RESEARCH & DEVELOPMENT, LLC",CO,80909,60,49,51.2,Madden Real Estate LLC,80014,0,0.0
16920,"ALEUT GLOBAL SOLUTIONS, LLC",CO,80919,80,59,63.2,Capital Dealer Solutions,80918,0,0.0
17345,AGRIUM U.S. INC.,CO,80237,100,50,60.0,"Ignite Media Group, Inc.",80237,0,0.0
17356,QUAKE REAL ESTATE LLC,CO,80204,80,84,83.2,Madden Real Estate LLC,80014,0,0.0
17401,"J&L CONSULTING, LLC",CO,80504,60,60,60.0,L P R CONSTRUCTION CO,80537,0,0.0
18340,POLAR SUPPLY COMPANY,CO,80237,80,58,62.400000000000006,Automatic Laundry Company,80239,0,0.0
18737,THE NOERR PROGRAMS,CO,80004,60,47,49.6,Taylor B Photography,80210,0,0.0
18759,"PROFESSIONAL FINANCE COMPANY, INC.",CO,80632,60,55,56.0,Kalman Floor Company Inc,80439,0,0.0
18786,"SRK CONSULTING (U.S.), INC.",CO,80202,33,55,55.0,Krische Construction Inc,0,0,0.0
19004,"CH2M HILL EQUIPMENT, INC.",CO,80112,100,42,53.6,Local Insight Media Holdings Inc,80112,0,0.0
19011,ANC RESEARCH & DEVELOPMENT,CO,80909,100,35,48.0,"Paramount Siding & Windows, Inc",80909,0,0.0
19223,"ALEUT FACILITIES SUPPORT SERVICES, LLC",CO,80919,40,59,55.2,"Western Drilling Services, LLC",81402,0,0.0
19548,"CH2M HILL ALASKA, INC.",CO,80112,60,53,54.400000000000006,MWH Americas Inc,80021,0,0.0
19645,"CH2M HILL E & C, INC",CO,80112,33,53,53.0,Johns Manville Inc,0,0,0.0
19765,"COALFIRE SYSTEMS, INC.",CO,80021,80,51,56.800000000000004,"HomeAdvisor, Inc.",80401,0,0.0
20517,"CH2M HILL ENGINEERS, INC.",CO,80112,100,46,56.800000000000004,Local Insight Media Holdings Inc,80112,0,0.0
20561,L.P.R. CONSTRUCTION CO.,CO,80537,100,86,88.8,L P R CONSTRUCTION CO,80537,0,1.0
20572,"INTEC SERVICES, INC.",CO,80527,100,95,96.0,Intec Services Inc,80527,0,1.0
20576,"LSC TRANSPORTATION CONSULTANTS, INC.",CO,80206,60,58,58.400000000000006,Gallagher Transport International Inc,80239,0,0.0
20692,HAWAIIAN SHAVE ICE,CO,80134,100,43,54.4,Ol Reliable Services Inc,80134,0,0.0
20940,"FAIRBANKS STUDENT HOUSING, LLC",CO,80228,80,49,55.2,Hendersonian Design LLC,80122,0,0.0
21050,"CH2M HILL ENGINEERS, INC",CO,80112,100,46,56.800000000000004,Local Insight Media Holdings Inc,80112,0,0.0
21655,HAYS CONSTRUCTION COMPANY INC,CO,80120,33,68,68.0,Krische Construction Inc,0,0,0.0
21887,JOHNS MANVILLE,CO,80202,33,88,88.0,Johns Manville Inc,0,0,1.0
21970,"ALLIANCE FOR SUSTAINABLE ENERGY, LLC",CO,80402,80,45,52.0,"Global Crossing Local Services, Inc",80021,0,0.0
22120,KEY PROPERTIES,CO,80921,60,63,62.400000000000006,"Aimco Properties, L.P",80237,0,0.0
22282,"BROADWING COMMUNICATIONS, LLC",CO,80021,100,59,67.2,Level 3 Communications,80021,0,0.0
22352,WESTERN STATES FIRE PROTECTION CO,CO,80112,33,57,57.0,Western Refractory Construction Incorporated,0,0,0.0
22586,AMERICAN PIPELINE SERVICES,CO,80011,60,64,63.2,Traemand Installation Services,80210,0,0.0
22633,AMERICAN PIPELINE SERVICES,CO,80011,60,64,63.2,Traemand Installation Services,80210,0,0.0
22785,SPERO M. MANSON,CO,80106,40,57,53.6,Super 8 Motel,80233,0,0.0
22892,"A-1 COLLECTION AGENCY, LLC",CO,81502,60,51,52.800000000000004,Elevation Imaging Inc,81435,0,0.0
23876,SPENARD BUILDERS SUPPLY,CO,80237,100,36,48.8,"Aimco Properties, L.P",80237,0,0.0
23915,FERA ALASKAN FISHERIES & SEAFOOD,CO,80033,60,45,48.0,Traemand Installation Services,80210,0,0.0
24578,SKYWARD MOUNTAINEERING,CO,81507,100,38,50.400000000000006,Gig's Beads & Things,81507,0,0.0
24761,"WIBLUE, INC.",CO,80303,80,47,53.6,BlueChopsticks.com,80301,0,0.0
24819,"ENVIROTECH SERVICES, INC.",CO,80634,40,79,71.2,Intec Services Inc,80527,0,0.0
25030,EMBASSY SUITES ANCHORAGE,CO,80112,80,44,51.2,Easy Climber,80120,0,0.0
25102,AL CAL PROPERTIES,CO,81220,40,68,62.400000000000006,"Aimco Properties, L.P",80237,0,0.0
25235,"SUBARU OF AMERICA, INC",CO,80019,80,63,66.4,MWH Americas Inc,80021,0,0.0
25501,"BIOSCRIP PHARMACY SERVICES, INC.",CO,80202,80,60,64.0,"Global Crossing Local Services, Inc",80021,0,0.0
25653,"MANAGED BUSINESS SOLUTIONS, LLC",CO,80921,60,63,62.400000000000006,"AIM Investment Solutions, Inc",80602,0,0.0
25752,ORICA USA INC.,CO,80137,60,60,60.0,MWH Americas Inc,80021,0,0.0
25817,"FAST ENTERPRISES, LLC",CO,80112,80,56,60.800000000000004,"eWranglers, LLC",80211,0,0.0
25879,"LG CONSTRUCTORS, INC.",CO,80112,40,79,71.2,Roche Constructors Inc,80634,0,0.0
26096,"LINDQUIST CONSULTING, INC.",CO,80302,80,55,60.0,"AIM Investment Solutions, Inc",80602,0,0.0
26366,"FULTON ENGINEERING, INC.",CO,80038,60,60,60.0,"Grand Teton Painting, Inc.",80536,0,0.0
26445,"ALCOHOL MONITORING SYSTEMS, INC.",CO,80120,80,50,56.0,Local Insight Media Holdings Inc,80112,0,0.0
27465,"SEA PROPERTIES, LLC",CO,80921,60,75,72.0,"Aimco Properties, L.P",80237,0,0.0
27673,BLUE SKY ATM,CO,80544,40,47,45.6,BlueChopsticks.com,80301,0,0.0
